shape_id,block_ids,trip_ids
160026,"[352366, 352368, 352371, 352362, 352363, 352370, 353813, 352367, 352364, 352365, 352369, 352372]","[3433401, 3433402, 3433403, 3433404, 3433405, 3433406, 3433407, 3433408, 3433409, 3433410, 3433411, 3433412, 3433413, 3433414, 3433415, 3433416, 3433417, 3433418, 3433419, 3433420, 3433421, 3433422, 3433423, 3433424, 3433425, 3433426, 3433427, 3433428, 3433429, 3433430, 3433431, 3433432, 3433433, 3433434, 3433435, 3433436, 3433437, 3433475, 3433490, 3433491, 3433492, 3433493, 3433494, 3433495, 3433496, 3433497, 3433498, 3433499, 3433500, 3433501]"
160027,"[352363, 352370, 353813, 352362, 352367, 352364, 352365, 352371, 352366, 352368, 352369, 352372]","[3433438, 3433439, 3433440, 3433441, 3433442, 3433443, 3433444, 3433445, 3433446, 3433447, 3433448, 3433449, 3433450, 3433451, 3433452, 3433453, 3433454, 3433455, 3433456, 3433457, 3433458, 3433459, 3433460, 3433461, 3433462, 3433463, 3433464, 3433465, 3433466, 3433467, 3433468, 3433469, 3433470, 3433471, 3433474, 3433476, 3433478, 3433479, 3433480, 3433481, 3433482, 3433483, 3433484, 3433485, 3433486, 3433487, 3446834]"
160028,"[352368, 352369, 352366, 352372, 352367]","[3433472, 3433473, 3433477, 3433488, 3433489]"
160029,[352364],[3433502]
160012,"[352368, 352379, 352371]","[3446829, 3446830, 3446831, 3446832, 3446833]"
160033,"[352362, 352363]","[3446835, 3446836, 3446837, 3446838, 3446839, 3446840]"
190001,"[352357, 352350, 352351, 352353, 352355, 352359, 352354, 352360, 352358, 352361, 352352, 352356, 352467]","[3433236, 3433237, 3433238, 3433239, 3433240, 3433241, 3433242, 3433243, 3433244, 3433245, 3433246, 3433247, 3433248, 3433249, 3433250, 3433251, 3433252, 3433253, 3433254, 3433255, 3433256, 3433257, 3433258, 3433259, 3433260, 3433336, 3433337, 3433338, 3433339, 3433340, 3433341, 3433342, 3433351, 3433352]"
190002,"[352356, 352354, 352360, 352358, 352361, 352352, 352467, 352351, 352353, 352355, 352359, 352357, 352350]","[3433261, 3433262, 3433263, 3433264, 3433265, 3433266, 3433267, 3433268, 3433269, 3433270, 3433271, 3433272, 3433273, 3433274, 3433275, 3433276, 3433277, 3433278, 3433279, 3433280, 3433281, 3433282, 3433283, 3433284, 3433285, 3433368, 3433369, 3433370, 3433371, 3433372, 3433373, 3433388, 3433389, 3433392]"
190003,"[352356, 352354, 352360, 352358, 352361, 352352, 352467, 352351, 352353, 352355, 352359, 352357, 352350]","[3433286, 3433287, 3433288, 3433289, 3433290, 3433291, 3433292, 3433293, 3433294, 3433295, 3433296, 3433297, 3433298, 3433299, 3433300, 3433301, 3433302, 3433303, 3433304, 3433305, 3433306, 3433307, 3433308, 3433309, 3433334, 3433382, 3433383, 3433384, 3433385, 3433386, 3433387, 3433390, 3433391, 3433393]"
190004,"[352357, 352350, 352351, 352353, 352355, 352359, 352354, 352360, 352358, 352361, 352352, 352356, 352467]","[3433310, 3433311, 3433312, 3433313, 3433314, 3433315, 3433316, 3433317, 3433318, 3433319, 3433320, 3433321, 3433322, 3433323, 3433324, 3433325, 3433326, 3433327, 3433328, 3433329, 3433330, 3433331, 3433332, 3433333, 3433335, 3433343, 3433344, 3433345, 3433346, 3433347, 3433348, 3433349, 3433350, 3433353, 3433354]"
190024,"[352460, 353934, 352458]","[3433355, 3433356, 3433357, 3433358, 3433359, 3433360, 3433361, 3433362, 3433363, 3433364, 3433365, 3433366, 3433367]"
190025,"[352458, 353935]","[3433374, 3433375, 3433376, 3433377, 3433378, 3433379, 3433380, 3433381, 3433394, 3433395, 3433396, 3433397, 3433398, 3433399, 3433400]"
10027,"[352314, 352373, 352389, 352307, 352380, 352376, 352377, 352390, 352381, 352391, 352388, 352313, 352387, 354099, 352308, 352375, 352383, 352306, 352392, 352378]","[3433888, 3433889, 3433890, 3433891, 3433892, 3433893, 3433894, 3433895, 3433896, 3433897, 3433898, 3433899, 3433900, 3433901, 3433902, 3433903, 3433904, 3433905, 3433906, 3433907, 3433908, 3433909, 3433910, 3433911, 3433912, 3433913, 3433914, 3433915, 3433916, 3433917, 3433918, 3433919, 3433920, 3433921, 3433922, 3433923, 3433924, 3433925, 3433926, 3433927, 3433928, 3433929, 3433930, 3433931, 3433932, 3433979]"
10010,"[352380, 352376, 352377, 352374, 352390, 352385, 352381, 352378, 352313, 352387, 354099, 352308, 352375, 352383, 352306, 352392, 352384, 352382, 352314, 352389, 352307]","[3433933, 3433934, 3433935, 3433936, 3433937, 3433938, 3433939, 3433940, 3433941, 3433942, 3433943, 3433944, 3433945, 3433946, 3433947, 3433948, 3433949, 3433950, 3433951, 3433952, 3433953, 3433954, 3433955, 3433956, 3433957, 3433958, 3433959, 3433960, 3433961, 3433962, 3433963, 3433964, 3433965, 3433966, 3433967, 3433968, 3433969, 3433970, 3433971, 3433972, 3433973, 3433974, 3433975, 3433976, 3433977, 3433978, 3433982]"
10026,"[352379, 352376]","[3433980, 3433981]"
2010013,"[352396, 352406, 352398, 352305, 352411, 352410, 352413, 352412, 352404, 354098, 352408, 352465, 352395, 352409, 352401, 352403]","[3430625, 3430626, 3430627, 3430628, 3430629, 3430630, 3430631, 3430632, 3430633, 3430634, 3430635, 3430636, 3430637, 3430638, 3430639, 3430640, 3430641, 3430642, 3430643, 3430644, 3430645, 3430646, 3430647, 3430648, 3430649, 3430650, 3430651, 3430652, 3430653, 3430654, 3430681, 3430690, 3430693, 3430694, 3430695, 3430697, 3430699, 3430700, 3430701, 3430702, 3430703, 3430704, 3430705, 3430706, 3430707, 3430708, 3430709, 3430710, 3430711, 3430712, 3430713, 3430714, 3430715, 3430716, 3430717, 3430718, 3430719, 3430720, 3430721, 3430722, 3430751, 3430752, 3430753, 3430754, 3430755, 3430756, 3430757, 3430758, 3430759, 3430760, 3430761, 3430762, 3430777, 3430778, 3430780, 3446865, 3446866, 3446867, 3446868, 3446869, 3446870, 3446871, 3446872, 3446873, 3446874]"
2010014,"[352465, 352395, 352409, 352401, 354098, 352398, 352408, 352413, 352412, 352404, 352410, 352411, 352406, 352396, 352305, 352403]","[3430655, 3430656, 3430657, 3430658, 3430659, 3430660, 3430661, 3430662, 3430663, 3430664, 3430665, 3430666, 3430667, 3430668, 3430669, 3430670, 3430671, 3430672, 3430673, 3430674, 3430675, 3430676, 3430677, 3430678, 3430679, 3430680, 3430682, 3430683, 3430684, 3430685, 3430686, 3430687, 3430688, 3430689, 3430691, 3430692, 3430698, 3430723, 3430724, 3430725, 3430726, 3430727, 3430728, 3430729, 3430730, 3430731, 3430732, 3430733, 3430734, 3430735, 3430736, 3430737, 3430738, 3430739, 3430740, 3430741, 3430742, 3430743, 3430744, 3430745, 3430746, 3430747, 3430748, 3430749, 3430763, 3430764, 3430765, 3430766, 3430767, 3430768, 3430769, 3430770, 3430771, 3430772, 3430773, 3430774, 3446875, 3446876, 3446877, 3446878, 3446879, 3446880, 3446881, 3446882, 3446883, 3446884]"
2010012,"[352408, 352413]","[3430696, 3430779]"
2010015,[352469],[3430750]
2010010,"[352412, 352411]","[3430775, 3430776]"
2010031,"[352403, 352370]","[3430781, 3430782, 3430783, 3446885, 3446886, 3446887, 3446888]"
2020005,"[352267, 352266, 352273, 352287, 352284, 352281, 352272, 352293, 352268, 352288, 352290, 352282, 352283, 352289]","[3430110, 3430111, 3430112, 3430113, 3430114, 3430115, 3430116, 3430117, 3430118, 3430119, 3430120, 3430121, 3430122, 3430123, 3430124, 3430125, 3430126, 3430127, 3430128, 3430129, 3430130, 3430131, 3430132, 3430133, 3430134, 3430135, 3430136, 3430137, 3430138, 3430139, 3430140, 3430141, 3430142, 3430143, 3430202, 3430203, 3430204, 3430205, 3430206, 3430207, 3430208, 3430209, 3430210, 3430211, 3430212, 3430213, 3430214, 3430215, 3430216, 3430217, 3430218, 3430219, 3430220, 3430221, 3430222, 3430223, 3430224, 3430225, 3430226, 3430239, 3430240, 3430241, 3430242, 3430243, 3430244, 3430245, 3430246, 3430247, 3430248, 3430249, 3430250]"
