shape_id,block_ids,trip_ids
2030012,"[352910, 352911, 352982]","[3440002, 3440003, 3440004, 3440005, 3440006, 3440007, 3440008, 3440009, 3440010, 3440011, 3440012, 3440013, 3440014]"
2030013,"[352910, 352982, 352911]","[3440015, 3440016, 3440017, 3440018, 3440019, 3440020, 3440021, 3440022, 3440023, 3440024, 3440025, 3440026, 3440027]"
2040011,"[352936, 352922, 352925, 352927, 352937, 352928, 352926, 352923]","[3440983, 3440984, 3440985, 3440986, 3440987, 3440988, 3440989, 3440990, 3440991, 3440992, 3440993, 3440994, 3440995, 3440996, 3440997, 3440998, 3440999, 3441000, 3441001, 3441002, 3441003, 3441004, 3441005, 3441006, 3441007, 3441008, 3441009, 3441010, 3441011, 3441012, 3441013, 3441014, 3441015]"
2040012,"[352928, 352937, 352936, 352926, 352923, 352922, 352925, 352927]","[3441016, 3441017, 3441018, 3441019, 3441020, 3441021, 3441022, 3441023, 3441024, 3441025, 3441026, 3441027, 3441028, 3441029, 3441030, 3441031, 3441032, 3441033, 3441034, 3441035, 3441036, 3441037, 3441038, 3441039, 3441040, 3441041, 3441042, 3441043, 3441044, 3441045, 3441046, 3441047, 3441048, 3441049]"
2050007,"[352928, 352927, 352937, 352936, 352926, 352923, 352922, 352925]","[3440915, 3440916, 3440917, 3440918, 3440919, 3440920, 3440921, 3440922, 3440923, 3440924, 3440925, 3440926, 3440927, 3440928, 3440929, 3440930, 3440931, 3440932, 3440933, 3440934, 3440935, 3440936, 3440937, 3440938, 3440939, 3440940, 3440941, 3440942, 3440943, 3440944, 3440945, 3440946, 3440947, 3440948]"
2050010,[352928],[3440949]
2050016,"[352937, 352925, 352927, 352928, 352936, 352926, 352923, 352922]","[3440950, 3440951, 3440952, 3440953, 3440954, 3440955, 3440956, 3440957, 3440958, 3440959, 3440960, 3440961, 3440962, 3440963, 3440964, 3440965, 3440966, 3440967, 3440968, 3440969, 3440970, 3440971, 3440972, 3440973, 3440974, 3440975, 3440976, 3440977, 3440978, 3440979, 3440980, 3440981, 3440982]"
2060017,"[354175, 354169, 354170, 354172]","[3441951, 3441952, 3441967, 3441968]"
2060010,"[354174, 354177, 354176, 354172, 354175, 354170, 354171, 354169, 354173]","[3441953, 3441954, 3441955, 3441956, 3441957, 3441958, 3441959, 3441960, 3441961, 3441962, 3441963, 3441964, 3441965, 3441966, 3441969, 3442002, 3442005, 3442007, 3442009, 3442010, 3442011, 3442012, 3442013, 3442014, 3442015, 3442016, 3442017]"
2060031,"[354172, 354170, 354171, 354169, 354174, 354177, 354176, 354175, 354173]","[3441970, 3441971, 3441972, 3441973, 3441974, 3441975, 3441976, 3441977, 3441978, 3441979, 3441980, 3441981, 3441982, 3441983, 3441984, 3441985, 3441986, 3441987, 3441988, 3441989, 3441990, 3441991, 3441992, 3441993, 3441994, 3441995, 3441996, 3441997, 3441998, 3441999, 3442001]"
2060018,[354174],[3442000]
2060036,"[354170, 354173]","[3442003, 3442008]"
2060012,[354170],[3442004]
2060013,[354169],[3442006]
200003,"[352960, 352957, 352961, 352962, 352959, 352958]","[3441188, 3441189, 3441190, 3441191, 3441192, 3441193, 3441194, 3441195, 3441196, 3441197, 3441198, 3441199, 3441200, 3441201, 3441202, 3441203, 3441204, 3441205, 3441206, 3441207, 3441208, 3441209, 3441210, 3441211, 3441212, 3441213, 3441214, 3441215, 3441216, 3441217, 3441218]"
200019,"[352957, 352958, 352960, 352961, 352962, 352959]","[3441219, 3441220, 3441221, 3441222, 3441223, 3441224, 3441225, 3441226, 3441227, 3441228, 3441229, 3441230, 3441231, 3441232, 3441233, 3441234, 3441235, 3441236, 3441237, 3441238, 3441239, 3441240, 3441241, 3441242, 3441243, 3441244, 3441245, 3441246, 3441247, 3441248, 3441249, 3441250]"
200007,"[352958, 352957]","[3441251, 3441252]"
220002,[352931],"[3440763, 3440764, 3440765, 3440766, 3440767, 3440768, 3440769, 3440770, 3440771, 3440782, 3440783]"
220003,[352931],"[3440772, 3440773, 3440774, 3440775, 3440776, 3440777, 3440778, 3440779, 3440780, 3440781, 3440784]"
270003,"[352941, 352999]","[3440715, 3440716, 3440717, 3440718, 3440719, 3440720, 3440721, 3440722, 3440723, 3440724, 3440725, 3440726, 3440727, 3440728, 3440729, 3440730, 3440731, 3440732, 3440733, 3440734, 3440735, 3440736, 3440737, 3440738]"
270004,"[352941, 352999]","[3440739, 3440740, 3440741, 3440742, 3440743, 3440744, 3440745, 3440746, 3440747, 3440748, 3440749, 3440750, 3440751, 3440752, 3440753, 3440754, 3440755, 3440756, 3440757, 3440758, 3440759, 3440760, 3440761, 3440762]"
280004,"[352941, 352999]","[3440652, 3440653, 3440654, 3440655, 3440656, 3440657, 3440658, 3440659, 3440660, 3440661, 3440662, 3440663, 3440664, 3440665, 3440666, 3440667, 3440668, 3440669, 3440670, 3440671, 3440672, 3440673, 3440674, 3440675, 3440676, 3440677, 3440678, 3440679, 3440680, 3440681, 3440682, 3440714]"
280005,"[352941, 352999]","[3440683, 3440684, 3440685, 3440686, 3440687, 3440688, 3440689, 3440690, 3440691, 3440692, 3440693, 3440694, 3440695, 3440696, 3440697, 3440698, 3440699, 3440700, 3440701, 3440702, 3440703, 3440704, 3440705, 3440706, 3440707, 3440708, 3440709, 3440710, 3440711, 3440712, 3440713]"
290003,"[352958, 352960, 352957, 352961, 352962, 352959, 352955]","[3440589, 3440590, 3440591, 3440592, 3440593, 3440594, 3440595, 3440596, 3440597, 3440598, 3440599, 3440600, 3440601, 3440602, 3440603, 3440604, 3440605, 3440606, 3440607, 3440608, 3440609, 3440610, 3440611, 3440612, 3440613, 3440614, 3440615, 3440616, 3440617, 3440618, 3440651]"
290004,"[352961, 352962, 352959, 352958, 352960, 352957]","[3440619, 3440620, 3440621, 3440622, 3440623, 3440624, 3440625, 3440626, 3440627, 3440628, 3440629, 3440630, 3440631, 3440632, 3440633, 3440634, 3440635, 3440636, 3440637, 3440638, 3440639, 3440640, 3440641, 3440642, 3440643, 3440644, 3440645, 3440646, 3440647, 3440648, 3440649, 3440650]"
3010005,"[352901, 352906, 352904, 352902, 352907, 352905, 352903]","[3440785, 3440786, 3440787, 3440788, 3440789, 3440790, 3440791, 3440792, 3440793, 3440794, 3440795, 3440796, 3440797, 3440798, 3440799, 3440800, 3440801, 3440802, 3440803, 3440804, 3440805, 3440806, 3440807, 3440808, 3440809, 3440810, 3440811, 3440812, 3440813, 3440814, 3440815, 3440816, 3440817, 3440818, 3440819, 3440820, 3440821, 3440822, 3440823, 3440824, 3440825, 3440826, 3440827, 3440828, 3440829, 3440830, 3440831, 3440832, 3440833, 3440834, 3440835, 3440836, 3440837, 3440838, 3440839, 3440840, 3440841, 3440842, 3440843, 3440844, 3440845, 3440846, 3440847, 3440848]"
3010006,"[352906, 352904, 352902, 352901, 352907, 352905, 352903]","[3440849, 3440850, 3440851, 3440852, 3440853, 3440854, 3440855, 3440856, 3440857, 3440858, 3440859, 3440860, 3440861, 3440862, 3440863, 3440864, 3440865, 3440866, 3440867, 3440868, 3440869, 3440870, 3440871, 3440872, 3440873, 3440874, 3440875, 3440876, 3440877, 3440878, 3440879, 3440880, 3440881, 3440882, 3440883, 3440884, 3440885, 3440886, 3440887, 3440888, 3440889, 3440890, 3440891, 3440892, 3440893, 3440894, 3440895, 3440896, 3440897, 3440898, 3440899, 3440900, 3440901, 3440902, 3440903, 3440904, 3440905, 3440906, 3440907, 3440908, 3440909, 3440910, 3440911, 3440912, 3440913]"
3010007,[352901],[3440914]
