shape_id,block_ids,trip_ids
2010014,"[352760, 352762, 352766, 352761, 352763, 352765, 352764, 352759]","[3437420, 3437421, 3437422, 3437423, 3437424, 3437425, 3437426, 3437427, 3437428, 3437429, 3437430, 3437431, 3437432, 3437433, 3437434, 3437435, 3437436, 3437437, 3437438, 3437439, 3437440, 3437441, 3437442, 3437443, 3437444, 3437445, 3437446, 3437447, 3437448, 3437449, 3437450, 3437451, 3437452, 3437453, 3437454]"
2010012,[352759],[3437456]
2010036,"[353926, 353927]","[3447290, 3447291, 3447292, 3447293]"
2010031,"[353928, 353925]","[3447294, 3447295, 3447296, 3447297, 3447298, 3447299, 3447300]"
2020005,"[352691, 352690, 352675, 352674, 352673, 352676, 352686, 352681, 352687]","[3437314, 3437315, 3437316, 3437317, 3437318, 3437319, 3437320, 3437321, 3437322, 3437323, 3437324, 3437325, 3437326, 3437327, 3437328, 3437329, 3437330, 3437331, 3437332, 3437333, 3437334, 3437335, 3437336, 3437337, 3437338, 3437339, 3437340, 3437341, 3437342, 3437343, 3437344, 3437345, 3437346, 3437347, 3437348, 3437384]"
2020006,"[352681, 352691, 352690, 352675, 352674, 352673, 352676, 352686]","[3437349, 3437350, 3437351, 3437352, 3437353, 3437354, 3437355, 3437356, 3437357, 3437358, 3437359, 3437360, 3437361, 3437362, 3437363, 3437364, 3437365, 3437366, 3437367, 3437368, 3437369, 3437370, 3437371, 3437372, 3437373, 3437374, 3437375, 3437376, 3437377, 3437378, 3437379, 3437380, 3437381, 3437382, 3437383]"
2030012,"[352732, 352730, 352769, 352768, 352731, 352770, 352733, 352740]","[3435944, 3435945, 3435946, 3435947, 3435948, 3435949, 3435950, 3435951, 3435952, 3435953, 3435954, 3435955, 3435956, 3435957, 3435958, 3435959, 3435960, 3435961, 3435962, 3435963, 3435964, 3435966, 3435968, 3435970]"
2030013,"[352769, 352768, 352732, 352730, 352731, 352770, 352733, 352740]","[3435965, 3435967, 3435969, 3435971, 3435972, 3435973, 3435974, 3435975, 3435976, 3435977, 3435978, 3435979, 3435980, 3435981, 3435982, 3435983, 3435984, 3435985, 3435986, 3435987, 3435988, 3435989, 3435990, 3435991]"
2040012,"[352673, 352676, 352686, 352681, 352691, 352690, 352675, 352674]","[3437243, 3437244, 3437245, 3437246, 3437247, 3437248, 3437249, 3437250, 3437251, 3437252, 3437253, 3437254, 3437255, 3437256, 3437257, 3437258, 3437259, 3437260, 3437261, 3437262, 3437263, 3437264, 3437265, 3437266, 3437267, 3437268, 3437269, 3437270, 3437271, 3437272, 3437273, 3437274, 3437275, 3437276, 3437277, 3437278]"
2040011,"[352675, 352674, 352673, 352676, 352686, 352681, 352690, 352691]","[3437279, 3437280, 3437281, 3437282, 3437283, 3437284, 3437285, 3437286, 3437287, 3437288, 3437289, 3437290, 3437291, 3437292, 3437293, 3437294, 3437295, 3437296, 3437297, 3437298, 3437299, 3437300, 3437301, 3437302, 3437303, 3437304, 3437305, 3437306, 3437307, 3437308, 3437309, 3437310, 3437311, 3437312, 3437313]"
2050007,"[352686, 352674, 352673, 352676, 352681, 352691, 352690, 352675]","[3437171, 3437172, 3437173, 3437174, 3437175, 3437176, 3437177, 3437178, 3437179, 3437180, 3437181, 3437182, 3437183, 3437184, 3437185, 3437186, 3437187, 3437188, 3437189, 3437190, 3437191, 3437192, 3437193, 3437194, 3437195, 3437196, 3437197, 3437198, 3437199, 3437200, 3437201, 3437202, 3437203, 3437204, 3437205, 3437206]"
2050010,[352681],[3437207]
2050016,"[352675, 352674, 352673, 352676, 352686, 352681, 352691, 352690]","[3437208, 3437209, 3437210, 3437211, 3437212, 3437213, 3437214, 3437215, 3437216, 3437217, 3437218, 3437219, 3437220, 3437221, 3437222, 3437223, 3437224, 3437225, 3437226, 3437227, 3437228, 3437229, 3437230, 3437231, 3437232, 3437233, 3437234, 3437235, 3437236, 3437237, 3437238, 3437239, 3437240, 3437241, 3437242]"
2060032,"[352749, 352748]","[3438359, 3438399, 3438403]"
2060031,"[352746, 352748, 352747, 352749, 352753, 352754, 352745, 352752, 352744]","[3438360, 3438384, 3438385, 3438386, 3438388, 3438389, 3438390, 3438391, 3438392, 3438394, 3438395, 3438396, 3438397, 3438398, 3438400, 3438401, 3438402, 3438404, 3438405, 3438406, 3438407, 3438408, 3438409, 3438410, 3438411, 3438412, 3438413, 3438414, 3438415, 3438416, 3438419]"
2060010,"[352745, 352749, 352754, 352744, 352748, 352753, 352746, 352752, 352747]","[3438361, 3438362, 3438363, 3438364, 3438365, 3438366, 3438367, 3438368, 3438369, 3438370, 3438371, 3438372, 3438373, 3438374, 3438375, 3438376, 3438377, 3438378, 3438379, 3438380, 3438381, 3438382, 3438383, 3438387, 3438393, 3438418, 3438422, 3438423, 3438424, 3438425, 3438426, 3438427, 3438428, 3438429]"
2060036,"[352747, 352754]","[3438417, 3438438]"
2060018,[352744],[3438420]
2060012,[352746],[3438421]
2060017,[352747],[3438430]
200019,"[352728, 352668, 352670, 352679, 352680, 352687, 352669, 352671, 352672]","[3437457, 3437458, 3437459, 3437460, 3437461, 3437462, 3437463, 3437464, 3437465, 3437466, 3437467, 3437468, 3437469, 3437470, 3437471, 3437472, 3437473, 3437474, 3437475, 3437476, 3437477, 3437478, 3437479, 3437480, 3437481, 3437482, 3437483, 3437484, 3437485, 3437486, 3437487, 3437488, 3437489, 3437490, 3437491, 3437492]"
200003,"[352668, 352670, 352679, 352680, 352687, 352669, 352671, 352672, 352728]","[3437493, 3437494, 3437495, 3437496, 3437497, 3437498, 3437499, 3437500, 3437501, 3437502, 3437503, 3437504, 3437505, 3437506, 3437507, 3437508, 3437509, 3437510, 3437511, 3437512, 3437513, 3437514, 3437515, 3437516, 3437517, 3437518, 3437519, 3437520, 3437521, 3437522, 3437523, 3437524, 3437525, 3437526, 3437527, 3437528]"
200007,[352728],[3437529]
210002,"[352683, 352682, 352767, 352684, 352685, 352688, 355337, 355336, 355419, 355338, 355339, 355342, 355436, 355437, 355438]","[3436976, 3436977, 3436978, 3436979, 3436980, 3436981, 3436982, 3436983, 3436984, 3436985, 3436986, 3436987, 3436988, 3436989, 3436990, 3436991, 3436992, 3436993, 3436994, 3436995, 3436996, 3436997, 3436998, 3437023, 3437026, 3481408, 3481409, 3481410, 3481411, 3481412, 3481413, 3481414, 3481415, 3481416, 3481417, 3481418, 3481419, 3481420, 3481421, 3481422, 3481423, 3481424, 3481425, 3481426, 3481427, 3481428, 3481429, 3481430, 3481455, 3481458, 3481460, 3481461, 3481462, 3481463, 3481464, 3481465, 3481467, 3481468, 3481469, 3481470, 3481471, 3481472, 3481473, 3481474, 3481475]"
210003,"[352683, 352682, 352767, 352684, 352685, 352688, 355337, 355336, 355419, 355338, 355339, 355342, 355436, 355437, 355438]","[3436999, 3437000, 3437001, 3437002, 3437003, 3437004, 3437005, 3437006, 3437007, 3437008, 3437009, 3437010, 3437011, 3437012, 3437013, 3437014, 3437015, 3437016, 3437017, 3437018, 3437019, 3437020, 3437021, 3437024, 3437025, 3437027, 3481431, 3481432, 3481433, 3481434, 3481435, 3481436, 3481437, 3481438, 3481439, 3481440, 3481441, 3481442, 3481443, 3481444, 3481445, 3481446, 3481447, 3481448, 3481449, 3481450, 3481451, 3481452, 3481453, 3481456, 3481457, 3481459, 3481476, 3481477, 3481478, 3481479, 3481480, 3481481, 3481483, 3481484, 3481485, 3481486, 3481487, 3481488, 3481489, 3481490, 3481491]"
210004,"[352685, 355339]","[3437022, 3481454]"
220003,"[352660, 352659]","[3436910, 3436911, 3436912, 3436913, 3436914, 3436915, 3436916, 3436917, 3436918, 3436919, 3436920, 3436921, 3436922, 3436923, 3436924, 3436925, 3436926, 3436927, 3436928, 3436929, 3436930, 3436931, 3436932, 3436933, 3436934, 3436935, 3436936, 3436937, 3436938, 3436939, 3436940, 3436941, 3436942]"
220002,"[352659, 352660]","[3436943, 3436944, 3436945, 3436946, 3436947, 3436948, 3436949, 3436950, 3436951, 3436952, 3436953, 3436954, 3436955, 3436956, 3436957, 3436958, 3436959, 3436960, 3436961, 3436962, 3436963, 3436964, 3436965, 3436966, 3436967, 3436968, 3436969, 3436970, 3436971, 3436972, 3436973, 3436974, 3436975]"
230003,"[352771, 352772]","[3436851, 3436852, 3436853, 3436854, 3436855, 3436856, 3436857, 3436858, 3436859, 3436860, 3436861, 3436862, 3436863, 3436864, 3436865, 3436866, 3436867, 3436868, 3436869, 3436870, 3436871, 3436872, 3436873, 3436874, 3436875, 3436876, 3436877, 3436878, 3436879, 3436880]"
230004,"[352771, 352772]","[3436881, 3436882, 3436883, 3436884, 3436885, 3436886, 3436887, 3436888, 3436889, 3436890, 3436891, 3436892, 3436893, 3436894, 3436895, 3436896, 3436897, 3436898, 3436899, 3436900, 3436901, 3436902, 3436903, 3436904, 3436905, 3436906, 3436907, 3436908, 3436909]"
270003,"[352720, 352774, 352773]","[3436793, 3436794, 3436795, 3436796, 3436797, 3436798, 3436799, 3436800, 3436801, 3436802, 3436803, 3436804, 3436805, 3436806, 3436807, 3436808, 3436809, 3436810, 3436811, 3436812, 3436813, 3436814, 3436815, 3436816, 3436817, 3436818, 3436819, 3436820, 3436849]"
270004,"[352720, 352774, 352773]","[3436821, 3436822, 3436823, 3436824, 3436825, 3436826, 3436827, 3436828, 3436829, 3436830, 3436831, 3436832, 3436833, 3436834, 3436835, 3436836, 3436837, 3436838, 3436839, 3436840, 3436841, 3436842, 3436843, 3436844, 3436845, 3436846, 3436847, 3436848, 3436850]"
